Method,Problem_Size,Uncertainty_Set,Radius_P,PoR_Percent
scenario,5,L2Ball,0.1,0.9312493857607943
budgeted,5,L2Ball,0.1,1.1751513327906038
drpg,5,L2Ball,0.1,1.222924609332479
scenario,5,L2Ball,0.1,0.5043342937736656
budgeted,5,L2Ball,0.1,0.7635690397417073
drpg,5,L2Ball,0.1,0.6824031018140161
scenario,5,L2Ball,0.1,0.4743441452969982
budgeted,5,L2Ball,0.1,0.42309853099641237
drpg,5,L2Ball,0.1,0.8901938697982904
scenario,5,L2Ball,0.15,1.4009923923193965
budgeted,5,L2Ball,0.15,1.7522632870924304
drpg,5,L2Ball,0.15,1.9017661730867945
scenario,5,L2Ball,0.15,0.7345222638393867
budgeted,5,L2Ball,0.15,1.1254792353827876
drpg,5,L2Ball,0.15,1.0268076528459786
scenario,5,L2Ball,0.15,0.7025949448207021
budgeted,5,L2Ball,0.15,0.6204763148560625
drpg,5,L2Ball,0.15,1.440995154394422
scenario,5,L2Ball,0.2,1.873385950152566
budgeted,5,L2Ball,0.2,2.322279743617088
drpg,5,L2Ball,0.2,2.589791255897447
scenario,5,L2Ball,0.2,0.9577926763502085
budgeted,5,L2Ball,0.2,1.4796843528486445
drpg,5,L2Ball,0.2,1.3658168744046062
scenario,5,L2Ball,0.2,0.925005554883545
budgeted,5,L2Ball,0.2,0.7977513056284077
drpg,5,L2Ball,0.2,1.9875551526893256
scenario,5,L1Ball,0.1,0.804949823372748
budgeted,5,L1Ball,0.1,1.1751513327906038
drpg,5,L1Ball,0.1,0.964477719916044
scenario,5,L1Ball,0.1,0.3469188169918748
budgeted,5,L1Ball,0.1,0.7635690397417073
drpg,5,L1Ball,0.1,0.6401641055095375
scenario,5,L1Ball,0.1,0.29946351228397317
budgeted,5,L1Ball,0.1,0.42309853099641237
drpg,5,L1Ball,0.1,0.7412866088459479
scenario,5,L1Ball,0.15,1.2024137349659691
budgeted,5,L1Ball,0.15,1.7522632870924304
drpg,5,L1Ball,0.15,1.4912298517746287
scenario,5,L1Ball,0.15,0.506199223121907
budgeted,5,L1Ball,0.15,1.1254792353827876
drpg,5,L1Ball,0.15,0.961254265708038
scenario,5,L1Ball,0.15,0.44369966199454286
budgeted,5,L1Ball,0.15,0.6204763148560625
drpg,5,L1Ball,0.15,1.1942127662751074
