Method,Problem_Size,Uncertainty_Set,Radius_P,PoR_Percent
scenario,5,L2Ball,0.1,0.015714182670971015
budgeted,5,L2Ball,0.1,0.018018711704890243
drpg,5,L2Ball,0.1,0.01808872984030154
scenario,5,L2Ball,0.1,0.007203751589919239
budgeted,5,L2Ball,0.1,0.011488909917741884
drpg,5,L2Ball,0.1,0.009720542109660375
scenario,5,L2Ball,0.1,0.007449835016905196
budgeted,5,L2Ball,0.1,0.004472527875752443
drpg,5,L2Ball,0.1,0.016825390562204817
scenario,5,L2Ball,0.15,0.02356467441048048
budgeted,5,L2Ball,0.15,0.027022163323329296
drpg,5,L2Ball,0.15,0.02717024165127978
scenario,5,L2Ball,0.15,0.010780931089418438
budgeted,5,L2Ball,0.15,0.01721528507253634
drpg,5,L2Ball,0.15,0.014594914384515687
scenario,5,L2Ball,0.15,0.011170653831704198
budgeted,5,L2Ball,0.15,0.00670173461145648
drpg,5,L2Ball,0.15,0.025337718714074052
scenario,5,L2Ball,0.2,0.03141076859228387
budgeted,5,L2Ball,0.2,0.03602167711241225
drpg,5,L2Ball,0.2,0.03624903741202399
scenario,5,L2Ball,0.2,0.014353429601492398
budgeted,5,L2Ball,0.2,0.022938039844927153
drpg,5,L2Ball,0.2,0.01946675384489094
scenario,5,L2Ball,0.2,0.01488874049315194
budgeted,5,L2Ball,0.2,0.008926240584452428
drpg,5,L2Ball,0.2,0.03384781389981342
scenario,5,L1Ball,0.1,0.012123865206388027
budgeted,5,L1Ball,0.1,0.018018711704890243
drpg,5,L1Ball,0.1,0.013021527289146831
scenario,5,L1Ball,0.1,0.004840642139043828
budgeted,5,L1Ball,0.1,0.011488909917741884
scenario,5,L1Ball,0.1,0.0036528600861595777
budgeted,5,L1Ball,0.1,0.004472527875752443
drpg,5,L1Ball,0.1,0.016372433026707045
scenario,5,L1Ball,0.15,0.018183130633297948
budgeted,5,L1Ball,0.15,0.027022163323329296
drpg,5,L1Ball,0.15,0.019560200133652037
scenario,5,L1Ball,0.15,0.007244308023974493
